frame,rmse
0,7.19836378
1,3.86149931
2,1.26599348
3,0.73433191
4,0.67650652
5,0.66148674
6,0.66321975
7,0.64961779
8,0.62181288
9,0.63075286
10,0.60049778
11,0.59053117
12,0.60112303
13,0.58395964
14,0.59073389
15,0.58496153
16,0.58090603
17,0.58647048
18,0.58442628
19,0.58406425
20,0.56919098
21,0.57072222
22,0.56207025
23,0.55812204
24,0.55689794
25,0.55627888
26,0.56723613
27,0.57203740
28,0.57682812
29,0.57695663
30,0.57455081
31,0.57304132
32,0.56653094
33,0.56265724
34,0.56304592
35,0.56636477
36,0.56668681
37,0.56452489
38,0.56387264
39,0.56513864
40,0.55930579
41,0.56102717
42,0.55210805
43,0.55777192
44,0.55298460
45,0.55843204
46,0.54923815
47,0.54715496
48,0.55472130
49,0.55986810
50,0.56382358
51,0.56200421
52,0.56038052
53,0.56025606
54,0.55183876
55,0.55711728
56,0.55930698
57,0.56019157
58,0.56993586
59,0.56894737
60,0.56177700
61,0.57153642
62,0.56450212
63,0.56481940
64,0.57328200
65,0.56549758
66,0.57255387
67,0.57576621
68,0.58941197
69,0.57989854
70,0.57820666
71,0.57910454
72,0.57481116
73,0.57226878
74,0.56739873
75,0.56925571
76,0.57904440
77,0.58642018
78,0.58465934
79,0.58320314
80,0.58763558
81,0.59704441
82,0.60795325
83,0.62301451
84,0.63016260
85,0.62935328
86,0.65002298
87,0.66805369
88,0.68398380
89,0.71518725
90,0.72302920
91,0.75254107
92,0.75995737
93,0.77182001
94,0.78445709
95,0.77925158
96,0.78988582
97,0.80388576
98,0.81592613
99,0.81310403
100,0.83034164
101,0.84878826
102,0.85557842
103,0.87354308
104,0.86603051
105,0.87742907
106,0.87937886
107,0.87575012
108,0.89646155
109,0.89843333
110,0.90591717
111,0.90242094
112,0.88432050
113,0.87629437
114,0.88794488
115,0.90385544
116,0.90298617
117,0.90590870
118,0.89117575
119,0.90415281
120,0.90969437
121,0.91857219
122,0.92711079
123,0.93699777
124,0.92983395
125,0.91519380
126,0.93024361
127,0.92434913
128,0.92962605
129,0.92064029
130,0.92750847
131,0.93178898
132,0.93096262
133,0.93074155
134,0.90892160
135,0.88439155
136,0.89186853
137,0.88011134
138,0.87541968
139,0.87897354
140,0.88794434
141,0.89604580
142,0.90502292
143,0.90582740
144,0.91306341
145,0.93052840
146,0.94390494
147,0.94702733
148,0.95530915
149,0.94020343
150,0.94588983
151,0.97845179
152,0.96449274
153,0.95772266
154,0.95813864
155,0.94122148
156,0.94348043
157,0.96160394
158,0.97283334
159,0.96019381
160,0.94925719
161,0.94786042
162,0.95008075
163,0.95163041
164,0.93631577
165,0.93994117
166,0.93975890
167,0.95401096
168,0.96746862
169,0.95209688
170,0.97093642
171,0.97586703
172,0.95891386
173,0.96123827
174,0.96703315
175,0.99136662
176,1.00856590
177,1.00371325
178,1.00400054
179,0.98792374
180,1.00048661
181,1.00524712
182,1.03106725
183,1.01938307
184,1.01919568
185,1.03668606
186,1.05401003
187,1.03822100
188,1.04000413
189,1.03960741
190,1.04040456
191,1.02933371
192,1.02746344
193,1.00667071
194,1.00705743
195,0.99984491
196,1.00133801
197,1.00331128
198,1.01215875
199,1.00779235
200,1.01621580
201,1.01527572
202,1.02563500
203,1.04317117
204,1.02447331
205,1.00603056
206,1.01486170
207,1.01058257
208,1.00886571
209,1.02303028
210,1.03681910
211,1.02957344
212,1.01938534
213,1.02070427
214,1.01306963
215,1.02003300
216,1.02655053
217,1.01051235
218,1.01491702
219,1.01208484
220,1.00797558
221,1.01475167
222,1.00004578
223,0.99859136
224,0.96548319
225,0.98577577
226,1.00670421
227,0.99839818
228,0.98928976
229,0.97108692
230,0.98262185
231,0.99055040
232,0.98196447
233,0.98950940
234,0.98073405
235,0.98770612
236,0.98499489
237,0.98847508
238,0.97061312
239,0.97504103
240,0.98466635
241,0.97353357
242,0.99012768
243,0.99713004
244,0.99746692
245,0.99714148
246,1.00490534
247,1.01269114
248,1.02639115
249,1.05208683
250,1.03376162
251,1.03780663
252,1.02429724
253,1.01994801
254,1.03122842
255,1.02986944
256,1.04601622
257,1.04916537
258,1.04698575
259,1.02778924
260,1.02205598
261,1.03030574
262,1.01787376
263,1.02334130
264,1.01693583
265,1.02764714
266,1.01896882
267,1.03214943
268,1.02197826
269,1.01948881
270,1.04425848
271,1.06711459
272,1.05558360
273,1.03160465
274,1.01813805
275,1.04191720
276,1.05726755
277,1.06346154
278,1.06207669
279,1.05139375
280,1.06834197
281,1.08268023
282,1.04740226
283,1.05728841
284,1.06224096
285,1.05222285
286,1.05011535
287,1.04700172
288,1.05177808
289,1.06578481
290,1.06613803
291,1.06827712
292,1.06517673
293,1.06252217
294,1.06466961
295,1.05807161
