frame,time_s,shape_index,side,clearance_to_table_top_m,center_x_m,center_y_m,center_z_m
0,0.0,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
0,0.0,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
0,0.0,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
0,0.0,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
0,0.0,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
0,0.0,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
0,0.0,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
0,0.0,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
1,0.033350000000000005,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
1,0.033350000000000005,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
1,0.033350000000000005,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
1,0.033350000000000005,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
1,0.033350000000000005,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
1,0.033350000000000005,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
1,0.033350000000000005,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
1,0.033350000000000005,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
2,0.06670000000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
2,0.06670000000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
2,0.06670000000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
2,0.06670000000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
2,0.06670000000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
2,0.06670000000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
2,0.06670000000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
2,0.06670000000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
3,0.10005000000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
3,0.10005000000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
3,0.10005000000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
3,0.10005000000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
3,0.10005000000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
3,0.10005000000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
3,0.10005000000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
3,0.10005000000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
4,0.13340000000000002,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
4,0.13340000000000002,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
4,0.13340000000000002,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
4,0.13340000000000002,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
4,0.13340000000000002,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
4,0.13340000000000002,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
4,0.13340000000000002,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
4,0.13340000000000002,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
5,0.16675,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
5,0.16675,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
5,0.16675,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
5,0.16675,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
5,0.16675,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
5,0.16675,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
5,0.16675,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
5,0.16675,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
6,0.20010000000000003,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
6,0.20010000000000003,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
6,0.20010000000000003,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
6,0.20010000000000003,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
6,0.20010000000000003,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
6,0.20010000000000003,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
6,0.20010000000000003,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
6,0.20010000000000003,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
7,0.23345000000000005,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
7,0.23345000000000005,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
7,0.23345000000000005,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
7,0.23345000000000005,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
7,0.23345000000000005,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
7,0.23345000000000005,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
7,0.23345000000000005,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
7,0.23345000000000005,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
8,0.26680000000000004,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
8,0.26680000000000004,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
8,0.26680000000000004,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
8,0.26680000000000004,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
8,0.26680000000000004,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
8,0.26680000000000004,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
8,0.26680000000000004,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
8,0.26680000000000004,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
9,0.30015000000000003,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
9,0.30015000000000003,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
9,0.30015000000000003,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
9,0.30015000000000003,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
9,0.30015000000000003,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
9,0.30015000000000003,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
9,0.30015000000000003,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
9,0.30015000000000003,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
10,0.3335,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
10,0.3335,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
10,0.3335,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
10,0.3335,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
10,0.3335,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
10,0.3335,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
10,0.3335,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
10,0.3335,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
11,0.36685000000000006,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
11,0.36685000000000006,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
11,0.36685000000000006,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
11,0.36685000000000006,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
11,0.36685000000000006,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
11,0.36685000000000006,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
11,0.36685000000000006,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
11,0.36685000000000006,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
12,0.40020000000000006,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
12,0.40020000000000006,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
12,0.40020000000000006,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
12,0.40020000000000006,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
12,0.40020000000000006,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
12,0.40020000000000006,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
12,0.40020000000000006,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
12,0.40020000000000006,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
13,0.43355000000000005,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
13,0.43355000000000005,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
13,0.43355000000000005,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
13,0.43355000000000005,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
13,0.43355000000000005,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
13,0.43355000000000005,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
13,0.43355000000000005,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
13,0.43355000000000005,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
14,0.4669000000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
14,0.4669000000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
14,0.4669000000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
14,0.4669000000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
14,0.4669000000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
14,0.4669000000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
14,0.4669000000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
14,0.4669000000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
15,0.5002500000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
15,0.5002500000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
15,0.5002500000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
15,0.5002500000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
15,0.5002500000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
15,0.5002500000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
15,0.5002500000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
15,0.5002500000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
16,0.5336000000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
16,0.5336000000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
16,0.5336000000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
16,0.5336000000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
16,0.5336000000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
16,0.5336000000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
16,0.5336000000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
16,0.5336000000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
17,0.5669500000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
17,0.5669500000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
17,0.5669500000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
17,0.5669500000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
17,0.5669500000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
17,0.5669500000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
17,0.5669500000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
17,0.5669500000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
18,0.6003000000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
18,0.6003000000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
18,0.6003000000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
18,0.6003000000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
18,0.6003000000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
18,0.6003000000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
