frame,time_s,proxy_left_clearance_m,proxy_right_clearance_m,proxy_gripper_center_clearance_m,proxy_finger_span_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_any_finger_box_clearance_m,actual_left_tip_box_clearance_m,actual_right_tip_box_clearance_m,rope_com_xy_displacement_m,rope_mid_mean_displacement_m
0,0.0,0.08783169794641435,0.10606429684720933,0.09601073670946061,0.08783169794641435,0.06416437774896622,0.09520956873893738,0.06416437774896622,0.06416437774896622,0.09520956873893738,0.0,0.0
1,0.033350000000000005,0.0878691073115915,0.10599020827375352,0.09596047509275377,0.0878691073115915,0.06423550844192505,0.0951538160443306,0.06423550844192505,0.06423550844192505,0.0951538160443306,0.00012052399688400328,9.038867574417964e-05
2,0.06670000000000001,0.08789587724767625,0.10591723728738725,0.0959100048597902,0.08789587724767625,0.06430725753307343,0.09511212259531021,0.06430725753307343,0.06430725753307343,0.09511212259531021,0.0002750430430751294,0.00018072706006933004
3,0.10005000000000001,0.08793018717132509,0.10585064399801195,0.09586475003324449,0.08793018717132509,0.06438906490802765,0.09508853405714035,0.06438906490802765,0.06438906490802765,0.09508853405714035,0.0004368313238956034,0.0002702882920857519
4,0.13340000000000002,0.08797723013721406,0.10578726935945451,0.09582254994474351,0.08797723013721406,0.06447597593069077,0.09505902975797653,0.06447597593069077,0.06447597593069077,0.09505902975797653,0.000576935475692153,0.0003573551948647946
5,0.16675,0.08802700746618211,0.10572501230798662,0.09578133333288133,0.08802700746618211,0.06455478072166443,0.09502162039279938,0.06455478072166443,0.06455478072166443,0.09502162039279938,0.0006879742722958326,0.00043969645048491657
6,0.20010000000000003,0.0880810316260904,0.10565891075693071,0.09573721099458635,0.0880810316260904,0.06463118642568588,0.09497738629579544,0.06463118642568588,0.06463118642568588,0.09497738629579544,0.0007771286182105541,0.0005189593066461384
7,0.23345000000000005,0.08818791765533388,0.10559799480997026,0.09569563675485551,0.08818791765533388,0.06474819779396057,0.09493157267570496,0.06474819779396057,0.06474819779396057,0.09493157267570496,0.0008553378866054118,0.0005935679073445499
8,0.26680000000000004,0.08825432468019426,0.10554087865911424,0.09565638709627092,0.08825432468019426,0.06482544541358948,0.09488770365715027,0.06482544541358948,0.06482544541358948,0.09488770365715027,0.0009199455380439758,0.0006624243687838316
9,0.30015000000000003,0.08833702612482011,0.10548519301973283,0.09561831462942064,0.08833702612482011,0.0649186447262764,0.09484415501356125,0.0649186447262764,0.0649186447262764,0.09484415501356125,0.0009859611745923758,0.0007344134501181543
